date,amount,category,note,type,account,payment_type
2022-02-01,-10.0,"Software, apps, games",,Expenses,Cash,CASH
2022-02-01,-70.0,"Alcohol, tobacco",,Expenses,Cash,CASH
2022-02-06,-30.0,Vehicle maintenance,,Expenses,Cash,CASH
2022-02-18,-10.0,Food & Drinks,,Expenses,Cash,CASH
2022-02-20,-50.0,"Phone, cell phone",,Expenses,Cash,CASH
2022-02-26,-32.0,Food & Drinks,,Expenses,Cash,CASH
2022-02-28,-12.0,Food & Drinks,,Expenses,Cash,CASH
2022-02-28,-4.0,"Stationary, Tools",,Expenses,Cash,CASH
2022-03-01,-120.0,"Energy, utilities",,Expenses,Cash,CASH
2022-03-03,-550.0,Rent,,Expenses,Cash,CASH
2022-03-12,-6.0,Vehicle maintenance,,Expenses,Cash,CASH
2022-03-31,-100.0,"Books, audio, subscription",,Expenses,Cash,CASH
2022-04-01,-40.0,"Active sport, fitness",,Expenses,Cash,CASH
2022-04-01,-27.0,Food & Drinks,,Expenses,Cash,CASH
2022-04-03,-50.0,"Books, audio, subscription",,Expenses,Cash,CASH
2022-04-05,-40.0,"Alcohol, tobacco",,Expenses,Cash,CASH
2022-04-05,-30.0,Food & Drinks,,Expenses,Cash,CASH
2022-04-10,-60.0,Food & Drinks,,Expenses,Cash,CASH
2022-04-16,-155.0,"Holiday, trips, hotels",Provance- Tickets,Expenses,Cash,CASH
2022-04-16,-52.0,"Phone, cell phone",,Expenses,Cash,CASH
2022-04-17,-35.0,"Holiday, trips, hotels",Provance,Expenses,Cash,CASH
2022-04-17,-25.5,Food & Drinks,Provance,Expenses,Cash,CASH
2022-04-17,-21.5,Food & Drinks,Provance- Food,Expenses,Cash,CASH
2022-04-17,-20.0,"Holiday, trips, hotels",Provance- Tickets Busses,Expenses,Cash,CASH
2022-04-20,-21.0,"Holiday, trips, hotels",Provance,Expenses,Cash,CASH
2022-04-20,-23.0,"Alcohol, tobacco",Provance,Expenses,Cash,CASH
2022-04-20,-7.5,"Bar, cafe",Provance,Expenses,Cash,CASH
2022-04-20,-7.0,Food & Drinks,Provance,Expenses,Cash,CASH
2022-04-21,-31.0,"Bar, cafe",Provance,Expenses,Cash,CASH
2022-04-21,-33.0,Food & Drinks,Provance,Expenses,Cash,CASH
2022-04-21,-2.0,Food & Drinks,Provance,Expenses,Cash,CASH
2022-04-21,-36.0,Food & Drinks,Provance- Pepa,Expenses,Cash,CASH
2022-04-21,-76.0,"Books, audio, subscription",Provance,Expenses,Cash,CASH
2022-04-21,-40.0,"Holiday, trips, hotels",Provance,Expenses,Cash,CASH
2022-04-21,-32.0,"Holiday, trips, hotels",Provance,Expenses,Cash,CASH
2022-04-22,-15.0,Food & Drinks,Provance,Expenses,Cash,CASH
2022-04-22,-55.0,Groceries,Provance,Expenses,Cash,CASH
2022-04-22,-375.0,"Holiday, trips, hotels",Provance,Expenses,Cash,CASH
2022-04-22,-80.0,"Charity, gifts",,Expenses,Cash,CASH
2022-04-24,-92.0,Groceries,,Expenses,Cash,CASH
2022-04-25,-80.0,Fuel,,Expenses,Cash,CASH
2022-04-25,-50.0,Missing,,Expenses,Cash,CASH
2022-04-29,-17.0,Food & Drinks,,Expenses,Cash,CASH
2022-04-29,-16.0,Food & Drinks,,Expenses,Cash,CASH
2022-04-29,-20.0,"Charity, gifts",,Expenses,Cash,CASH
2022-04-29,-15.0,Food & Drinks,,Expenses,Cash,CASH
2022-05-01,-40.0,"Active sport, fitness",,Expenses,Cash,CASH
2022-05-05,-20.0,Vehicle maintenance,,Expenses,Cash,CASH
2022-05-08,-20.0,Groceries,,Expenses,Cash,CASH
2022-05-10,-32.0,Food & Drinks,,Expenses,Cash,CASH
2022-05-10,-17.0,Food & Drinks,,Expenses,Cash,CASH
2022-05-12,-8.0,Food & Drinks,,Expenses,Cash,CASH
2022-05-14,-30.0,Food & Drinks,,Expenses,Cash,CASH
2022-05-14,-15.0,"Culture, sport events",,Expenses,Cash,CASH
2022-05-15,-45.0,"Phone, cell phone",,Expenses,Cash,CASH
2022-05-18,-110.0,"Books, audio, subscription",,Expenses,Cash,CASH
2022-05-21,-10.0,"Alcohol, tobacco",,Expenses,Cash,CASH
2022-06-01,-4.0,Public Transport,,Expenses,Cash,CASH
2022-06-01,-40.0,"Active sport, fitness",,Expenses,Cash,CASH
2022-06-01,-10.0,"Software, apps, games",,Expenses,Cash,CASH
2022-06-19,-75.0,Fuel,,Expenses,Cash,CASH
2022-07-01,-50.0,"Alcohol, tobacco",,Expenses,Cash,CASH
2022-07-01,-40.0,"Active sport, fitness",,Expenses,Cash,CASH
2022-07-01,-97.0,Vehicle insurance,,Expenses,Cash,CASH
2022-07-01,-10.0,Vehicle insurance,,Expenses,Cash,CASH
2022-07-05,-26.0,Food & Drinks,,Expenses,Cash,CASH
2022-07-09,-17.0,Food & Drinks,,Expenses,Cash,CASH
2022-07-10,-50.0,Food & Drinks,,Expenses,Cash,CASH
2022-07-11,-7.0,Food & Drinks,,Expenses,Cash,CASH
2022-07-13,-20.0,Free time,,Expenses,Cash,CASH
2022-07-14,-60.0,"Charity, gifts",,Expenses,Cash,CASH
2022-07-16,-34.0,Food & Drinks,,Expenses,Cash,CASH
2022-07-18,-58.0,Food & Drinks,,Expenses,Cash,CASH
2022-07-19,-40.0,Food & Drinks,,Expenses,Cash,CASH
2022-07-20,-15.0,"Bar, cafe",,Expenses,Cash,CASH
2022-07-21,-30.0,Vehicle maintenance,,Expenses,Cash,CASH
2022-07-23,-120.0,"Books, audio, subscription",,Expenses,Cash,CASH
2022-07-23,-30.0,"Charity, gifts",,Expenses,Cash,CASH
2022-07-24,-40.0,Groceries,,Expenses,Cash,CASH
2022-07-24,-50.0,"Phone, cell phone",,Expenses,Cash,CASH
2022-07-26,-80.0,Life events,,Expenses,Cash,CASH
2022-07-26,-34.0,Life events,,Expenses,Cash,CASH
2022-07-26,-140.0,Life events,,Expenses,Cash,CASH
2022-07-26,-36.0,Life events,,Expenses,Cash,CASH
2022-07-26,-109.0,Life events,,Expenses,Cash,CASH
2022-07-26,-123.0,Life events,,Expenses,Cash,CASH
2022-07-26,-6.0,Food & Drinks,,Expenses,Cash,CASH
2022-07-27,-65.0,Fuel,,Expenses,Cash,CASH
2022-08-01,-96.0,"Energy, utilities",,Expenses,Cash,CASH
2022-08-01,-30.0,"Holiday, trips, hotels",,Expenses,Cash,CASH
2022-08-02,-65.0,Food & Drinks,,Expenses,Cash,CASH
2022-08-08,-200.0,"Holiday, trips, hotels",Нощувки,Expenses,Cash,CASH
2022-08-25,-40.0,Food & Drinks,,Expenses,Cash,CASH
2022-08-25,-210.0,Food & Drinks,,Expenses,Cash,CASH
2022-08-31,-64.0,Fuel,,Expenses,Cash,CASH
2022-09-01,-15.0,Groceries,,Expenses,Cash,CASH
2022-09-01,-20.0,Food & Drinks,,Expenses,Cash,CASH
2022-09-01,-30.0,"Wellness, beauty",,Expenses,Cash,CASH
2022-09-01,-80.0,"Energy, utilities",,Expenses,Cash,CASH
2022-09-01,-15.0,"Pets, animals",,Expenses,Cash,CASH
